Age,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
18,48,Kinesthetic,14,Yes,100,69,66,Yes,High,9,8,C
29,30,Reading/Writing,20,No,71,40,57,Yes,Medium,28,8,D
20,47,Kinesthetic,11,No,60,43,79,Yes,Low,13,7,D
23,13,Auditory,0,Yes,63,70,60,Yes,Low,24,10,B
19,24,Auditory,19,Yes,59,63,93,Yes,Medium,26,8,C
28,26,Kinesthetic,5,Yes,63,54,80,No,High,25,8,D
19,49,Reading/Writing,13,Yes,91,44,66,Yes,Low,30,10,D
27,14,Reading/Writing,5,Yes,88,56,76,Yes,Low,4,6,C
22,45,Visual,16,No,52,78,70,No,Low,26,9,B
28,35,Auditory,7,No,100,55,100,No,Medium,5,9,C
23,40,Kinesthetic,20,No,74,44,93,No,Medium,15,10,D
23,14,Visual,18,Yes,77,56,74,No,High,9,6,C
23,24,Visual,4,No,67,73,93,Yes,Medium,28,7,B
27,44,Reading/Writing,20,No,80,60,51,Yes,Low,27,6,C
22,10,Reading/Writing,17,Yes,67,71,55,Yes,High,28,8,B
25,28,Reading/Writing,13,Yes,85,90,76,Yes,Medium,5,8,A
19,11,Visual,20,Yes,81,93,93,No,Medium,6,9,A
18,8,Kinesthetic,9,Yes,52,97,69,No,Low,1,5,A
22,11,Kinesthetic,11,No,50,74,96,Yes,Medium,13,7,B
19,28,Auditory,19,No,50,64,80,Yes,Medium,20,8,C
19,30,Reading/Writing,0,Yes,89,97,90,Yes,Low,26,10,A
20,48,Visual,16,Yes,81,76,82,Yes,Medium,29,9,B
18,14,Reading/Writing,4,Yes,90,75,73,Yes,High,12,9,B
25,41,Reading/Writing,6,Yes,68,93,100,No,Medium,23,7,A
25,36,Visual,3,Yes,96,83,66,Yes,Low,8,7,B
22,38,Reading/Writing,7,Yes,91,61,50,Yes,Low,19,10,C
19,48,Kinesthetic,1,Yes,86,52,86,Yes,Low,30,9,D
19,40,Auditory,16,Yes,100,63,74,No,Medium,29,7,C
24,39,Kinesthetic,9,No,79,90,91,Yes,Medium,21,6,A
29,39,Visual,5,No,76,41,79,No,Low,20,5,D
20,23,Kinesthetic,3,Yes,59,57,81,Yes,Medium,9,5,C
22,6,Auditory,18,No,85,80,76,No,Medium,16,7,B
23,25,Auditory,12,Yes,55,63,85,Yes,High,14,4,C
25,6,Visual,10,Yes,96,100,71,Yes,Medium,2,7,A
28,32,Auditory,5,No,53,54,96,Yes,High,0,10,D
19,41,Auditory,12,Yes,57,60,67,No,Medium,15,5,C
26,26,Kinesthetic,3,Yes,53,48,76,No,Low,19,4,D
20,11,Visual,3,Yes,58,73,62,No,Medium,22,7,B
21,20,Kinesthetic,1,Yes,64,99,62,No,High,2,4,A
24,12,Visual,8,Yes,98,65,58,Yes,Medium,0,5,C
27,41,Reading/Writing,14,No,65,56,74,Yes,Low,26,9,C
28,46,Kinesthetic,8,No,77,51,88,Yes,Low,23,5,D
25,24,Auditory,19,No,90,93,54,Yes,High,17,9,A
22,38,Auditory,5,Yes,96,54,92,No,High,16,5,D
20,45,Visual,9,No,78,42,58,Yes,Low,24,8,D
28,6,Visual,13,No,81,92,90,No,Medium,6,10,A
26,23,Visual,10,No,94,42,65,Yes,Medium,11,6,D
25,35,Auditory,16,Yes,50,83,88,Yes,High,8,4,B
19,12,Kinesthetic,5,Yes,50,78,66,Yes,Low,0,8,B
25,38,Kinesthetic,6,Yes,88,76,100,Yes,Low,12,9,B
19,44,Auditory,17,Yes,98,44,66,Yes,High,4,4,D
21,33,Visual,9,Yes,99,87,79,No,High,21,7,A
23,26,Visual,3,Yes,62,64,71,Yes,Low,10,6,C
19,47,Kinesthetic,2,No,52,44,84,Yes,Medium,11,10,D
25,39,Reading/Writing,15,Yes,88,89,63,No,Medium,5,5,A
23,21,Visual,1,Yes,89,59,74,Yes,Medium,18,8,C
21,5,Visual,19,Yes,71,69,77,Yes,High,30,6,C
29,19,Reading/Writing,5,No,53,85,71,No,Medium,29,9,A
29,36,Reading/Writing,17,Yes,52,46,51,Yes,Low,27,7,D
20,14,Kinesthetic,2,Yes,52,83,77,Yes,High,19,9,B
25,41,Kinesthetic,6,Yes,59,69,53,No,Low,11,6,C
26,32,Reading/Writing,7,Yes,71,94,89,No,Low,18,10,A
18,21,Kinesthetic,12,Yes,100,55,75,No,Medium,28,4,C
20,21,Kinesthetic,10,Yes,72,44,83,Yes,Low,12,6,D
24,31,Kinesthetic,6,Yes,88,60,77,Yes,Low,11,6,C
24,9,Kinesthetic,11,No,88,95,87,No,Medium,23,5,A
24,12,Kinesthetic,14,No,57,57,73,Yes,Medium,4,7,C
27,42,Auditory,11,No,83,66,60,No,Medium,21,7,C
19,11,Visual,3,No,91,73,73,No,Medium,2,9,B
18,35,Visual,2,No,96,54,96,Yes,High,5,9,D
22,9,Reading/Writing,7,Yes,53,72,87,No,Medium,10,8,B
20,46,Visual,13,No,55,45,52,No,Medium,7,7,D
23,9,Visual,3,Yes,53,83,78,No,Low,2,8,B
19,7,Auditory,12,No,79,76,72,Yes,Medium,10,5,B
25,22,Visual,6,No,75,88,68,No,Medium,19,9,A
29,34,Auditory,3,Yes,53,47,99,No,Medium,27,6,D
25,31,Reading/Writing,11,Yes,76,80,69,Yes,Low,24,5,B
23,38,Kinesthetic,0,Yes,62,93,96,Yes,Medium,5,6,A
26,39,Reading/Writing,15,No,88,53,57,Yes,High,13,8,D
25,23,Visual,5,Yes,62,76,61,Yes,High,0,6,B
24,43,Reading/Writing,16,Yes,61,54,63,Yes,Low,23,8,D
20,34,Kinesthetic,18,No,76,57,61,Yes,Medium,25,5,C
23,12,Visual,8,Yes,75,70,52,Yes,Low,10,8,B
28,28,Reading/Writing,0,Yes,98,99,99,Yes,Medium,1,4,A
18,23,Reading/Writing,0,No,89,81,70,Yes,Medium,13,9,B
19,35,Kinesthetic,9,Yes,90,61,92,No,Medium,2,8,C
20,5,Reading/Writing,14,No,71,44,61,No,Medium,2,5,D
29,11,Visual,4,Yes,74,59,80,No,Medium,18,4,C
24,24,Visual,9,Yes,55,51,95,Yes,Medium,2,10,D
19,15,Reading/Writing,15,Yes,61,94,54,No,High,20,10,A
25,40,Auditory,15,Yes,58,88,87,No,Low,28,7,A
27,12,Reading/Writing,19,Yes,58,92,86,No,Low,26,5,A
26,8,Kinesthetic,17,No,63,43,72,Yes,Medium,26,4,D
29,12,Reading/Writing,15,Yes,57,74,57,No,Medium,13,8,B
29,22,Visual,6,No,100,61,87,Yes,Medium,19,5,C
19,25,Visual,12,Yes,80,94,52,Yes,Low,15,10,A
26,16,Auditory,9,No,81,75,75,No,Medium,19,9,B
28,39,Reading/Writing,13,No,100,100,96,Yes,Medium,15,8,A
22,34,Reading/Writing,17,No,86,44,95,Yes,Low,12,9,D
24,30,Kinesthetic,7,No,80,93,80,Yes,Low,1,7,A
23,11,Auditory,10,No,63,47,81,Yes,Low,0,4,D
26,16,Reading/Writing,14,Yes,89,83,59,Yes,High,12,4,B
20,47,Auditory,5,No,73,68,59,Yes,Low,29,10,C
18,49,Visual,6,No,91,55,59,Yes,Medium,19,8,C
26,16,Kinesthetic,19,No,54,55,62,Yes,High,15,5,C
19,38,Kinesthetic,0,Yes,74,40,68,No,Medium,27,9,D
22,41,Reading/Writing,18,Yes,56,54,81,Yes,Low,7,6,D
